TERMINATE;UZEL1_UTIL;UZEL2_UTIL;BUF1_AVE_CONT;BUF2_AVE_CONT;BUF1_AVE_TIME;BUF2_AVE_TIME;TU_BUF1_STD_DEV;TU_BUF2_STD_DEV
2;0,574;0,457;0,834;0,025;418,241;17,695;548,308;39,568
2;0,612;0,451;0,805;0,030;312,948;16,273;425,210;32,622
2;0,597;0,358;0,504;0,034;144,009;16,137;282,039;34,664
5;0,679;0,312;0,881;0,024;258,800;11,284;302,724;31,480
14;0,687;0,332;0,897;0,111;249,757;59,285;438,809;216,466
51;0,668;0,398;0,903;0,237;257,910;139,175;483,983;541,410
75;0,650;0,339;0,853;0,162;233,192;96,909;470,295;401,711
151;0,653;0,346;0,917;0,168;258,723;96,360;559,246;334,631
452;0,669;0,325;1,000;0,168;286,365;102,142;643,485;421,460
1052;0,677;0,320;1,100;0,160;321,738;98,033;727,809;400,220
2127;0,674;0,318;1,088;0,165;322,214;102,096;720,838;429,638
5708;0,688;0,315;1,156;0,161;342,335;99,871;768,585;403,189
11254;0,687;0,321;1,146;0,171;337,005;105,863;755,844;432,265
16520;0,685;0,321;1,132;0,172;331,608;107,418;741,601;444,362
21798;0,684;0,320;1,126;0,170;328,948;106,314;737,401;434,376
32752;0,683;0,321;1,125;0,170;329,232;105,778;732,773;431,046
37840;0,683;0,321;1,118;0,169;326,615;105,350;724,947;431,651
43835;0,684;0,321;1,127;0,171;329,910;106,700;732,612;437,058
55182;0,685;0,322;1,131;0,172;331,044;107,606;734,528;442,664
111900;0,687;0,322;1,139;0,172;333,472;107,533;739,212;446,846
